Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
APWC,1.67,3/16/2016,3:45pm,0,N/A,N/A,N/A,50,1.67
GRR,9.1194,3/18/2016,4:00pm,-0.0206,9.15,9.19,9.11,3402,9.14
ASML,97.98,3/18/2016,4:00pm,0.22,97.78,98.67,97.65,312819,97.76
ASPN,4.57,3/18/2016,4:04pm,0.54,4.05,4.61,4.05,155548,4.03
AHL,46.93,3/18/2016,4:02pm,0.36,46.41,47.19,46.41,494466,46.57
AHL^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AHL^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AHL^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AZPN,36.13,3/18/2016,4:00pm,0.19,36.09,36.64,35.32,966741,35.94
ASMB,5.6,3/18/2016,4:00pm,0.23,5.39,5.73,5.26,70640,5.37
ASB,18.51,3/18/2016,4:01pm,0.16,18.38,18.83,18.35,3141034,18.35
ASB.WS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASB^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASB^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AC,28.17,3/18/2016,4:02pm,0.26,28.18,28.36,28.08,24722,27.91
AIZ,78.02,3/18/2016,4:03pm,-0.48,78.7,78.79,77.74,983886,78.5
AGO,26.07,3/18/2016,4:01pm,-0.09,26.17,26.4,25.86,1148007,26.16
AGO^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGO^E,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGO^F,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASFI,9,3/18/2016,4:00pm,-0.06,9.06,9.15,9,28404,9.06
ASTE,46.61,3/18/2016,4:00pm,0.52,46.34,46.84,45.69,302769,46.09
AST,5.08,3/18/2016,4:03pm,0.11,5.01,5.14,4.95,70556,4.97
AF,15.3,3/18/2016,4:02pm,-0.09,15.51,15.61,15.26,1473421,15.39
AF^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AZN,28.48,3/18/2016,4:03pm,-0.34,28.53,28.64,28.33,4819459,28.82
ALOT,14.66,3/18/2016,4:00pm,0,14.75,14.75,14.66,1786,14.66
ATRO,38.31,3/18/2016,4:00pm,0.31,38.3,39,37.56,376917,38
ASTC,1.88,3/18/2016,4:00pm,0.07,1.8,1.88,1.8,56288,1.81
ASUR,5.6001,3/18/2016,1:56pm,0.2401,5.4,5.645,5.4,12767,5.36
T,38.56,3/18/2016,4:00pm,-0.56,39.22,39.26,38.56,41102128,39.12
ATAI,5.32,3/18/2016,2:54pm,0.12,4.86,5.5,5.32,1137,5.2
ATRA,16.86,3/18/2016,4:00pm,1.22,15.86,17.29,15.41,815871,15.64
ATTO,7.19,3/18/2016,4:02pm,-0.04,7.27,7.38,7.05,130646,7.23
ATHN,134.18,3/18/2016,4:00pm,4.22,130.2,134.78,129.1,383729,129.96
ATHX,2.43,3/18/2016,4:00pm,-0.04,2.45,2.45,2.34,1318851,2.47
AAPC,10.37,3/18/2016,10:53am,0,10.2,10.37,10.2,309,10.37
AAME,4.38,3/18/2016,4:00pm,0.22,4.24,4.49,4.12,12564,4.16
ACBI,13.69,3/18/2016,4:00pm,0.32,13.4,13.71,13.4,54916,13.37
ACFC,5.87,3/18/2016,4:00pm,-0.04,5.87,5.9,5.87,4587,5.91
AT,2.21,3/18/2016,4:06pm,0.16,2.08,2.26,2.07,3056207,2.05
ATNI,72.68,3/18/2016,4:00pm,-1,74.1,74.58,71.85,225724,73.68
ATLC,3.15,3/18/2016,4:00pm,0,3.15,3.15,3.15,496,3.15
AAWW,42.2,3/18/2016,4:00pm,0.55,41.87,42.54,41.35,309361,41.65
ATLS,0.6753,3/18/2016,4:02pm,0.0303,0.68,0.8,0.65,755267,0.645
AFH,18.11,3/18/2016,4:00pm,-0.02,18.22,18.22,17.69,52761,18.13
ARP,0.84,3/18/2016,4:02pm,-0.08,0.99,0.99,0.83,824593,0.92
ARP^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARP^E,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TEAM,23.24,3/18/2016,4:00pm,-1.18,24.33,24.65,23.2,570641,24.42
ATML,8.12,3/18/2016,4:00pm,0.01,8.11,8.12,8.11,4994317,8.11
ATO,72.08,3/18/2016,4:02pm,-0.86,72.44,72.75,71.22,1648300,72.94
ATOS,0.349,3/18/2016,4:00pm,0.026,0.325,0.35,0.325,427263,0.323
ATRC,17.15,3/18/2016,4:00pm,0.22,17.03,17.31,16.85,229235,16.93
ATRI,389.54,3/18/2016,4:00pm,-0.98,392.49,396.48,388.69,17988,390.52
ATTU,7.66,3/18/2016,3:59pm,-0.13,7.81,7.9,7.66,14480,7.79
ATW,9.35,3/18/2016,4:04pm,-0.47,10.2,10.38,9.07,4870289,9.82
LIFE,5.3,3/18/2016,4:00pm,-0.08,5.44,5.73,5.27,178249,5.38
AUO,3.01,3/18/2016,4:03pm,0,3.03,3.05,3.01,605993,3.01
AUBN,26.298,3/17/2016,9:55am,0,26.86,N/A,N/A,13,26.298
AUDC,4.48,3/18/2016,4:00pm,-0.01,4.52,4.58,4.43,35523,4.49
AUPH,3.0398,3/18/2016,3:59pm,0.0398,3,3.13,3,27335,3
EARS,3.75,3/18/2016,4:00pm,-0.08,3.86,3.95,3.72,121082,3.83
ABTL,18.46,3/18/2016,4:00pm,0.46,18,18.6,17.87,188036,18
ADSK,57.81,3/18/2016,4:00pm,0.75,57.69,58.61,57.3,2486468,57.06
ATHM,28.21,3/18/2016,4:02pm,1.08,27,28.44,26.98,948952,27.13
ALV,112.82,3/18/2016,4:06pm,-2.06,113.91,114.59,112.4,753356,114.88
ADP,88.64,3/18/2016,4:00pm,-0.2,89.24,89.24,88.02,3207912,88.84
AN,48.51,3/18/2016,4:06pm,1.09,47.53,48.7,47.45,2464840,47.42
AZO,780.21,3/18/2016,4:00pm,-4.5,788.63,788.63,777.25,391588,784.71
AAVL,5.21,3/18/2016,4:00pm,0.22,5.03,5.25,4.83,434530,4.99
AWX,1.77,3/18/2016,1:36pm,0.01,1.77,1.78,1.77,656,1.76
AVB,187.04,3/18/2016,4:02pm,-1.91,189.07,190.42,187.04,1372633,188.95
AGR,40.46,3/18/2016,4:02pm,0.78,39.61,40.73,39.33,3107353,39.68
AVNU,19.44,3/18/2016,4:00pm,0.25,19.26,19.53,19.04,133731,19.19
ACP,10.92,3/18/2016,4:02pm,0.02,10.9,10.97,10.9,63760,10.9
AVEO,0.9272,3/18/2016,4:00pm,0.0272,0.88,0.94,0.88,228544,0.9
AVY,70.46,3/18/2016,4:02pm,0.66,69.99,70.74,69.66,4154402,69.8
AVXS,24.47,3/18/2016,4:00pm,1.31,22.88,24.98,22.08,180782,23.16
AVG,19.79,3/18/2016,4:00pm,-0.01,19.93,19.95,19.63,644004,19.8
AVH,4.92,3/18/2016,4:05pm,-0.15,5.1,5.17,4.9,175668,5.07
AVNW,0.66,3/18/2016,4:00pm,-0.02,0.7,0.7,0.66,96510,0.68
AVID,7.07,3/18/2016,4:00pm,-0.12,7.25,7.38,6.79,331217,7.19
AVGR,9.07,3/18/2016,4:00pm,0.16,8.99,9.13,8.84,98828,8.91
ASM,1.07,3/18/2016,4:04pm,-0.02,1.07,1.1,1.05,115254,1.09
CAR,28.99,3/18/2016,4:00pm,0.39,28.84,30.84,28.51,4028859,28.6
AVA,39.61,3/18/2016,4:03pm,-0.71,39.47,40.27,39.47,1864125,40.32
AV,14.1,3/18/2016,4:02pm,0.09,14.12,14.17,14,248674,14.01
AVV,26.71,3/18/2016,4:05pm,-0.14,26.83,26.91,26.46,375766,26.85
AVT,43.88,3/18/2016,4:01pm,0.54,43.34,44.18,43.26,783495,43.34
AVP,4.79,3/18/2016,4:02pm,0.39,4.38,4.85,4.38,16822383,4.4
AVX,12.63,3/18/2016,4:05pm,0.07,12.62,12.68,12.55,423529,12.56
AWRE,3.88,3/18/2016,4:00pm,-0.03,3.92,3.94,3.88,5496,3.91
AXTA,28.32,3/18/2016,4:00pm,0.3,28.12,28.57,28.08,1998414,28.02
ACLS,2.85,3/18/2016,4:00pm,0.14,2.74,2.86,2.71,773895,2.71
AXLL,22.51,3/18/2016,4:05pm,0.51,22.19,22.53,21.72,870153,22
AXS,55.02,3/18/2016,4:04pm,0.34,54.61,55.02,54.28,781444,54.68
AXS^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXS^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXGN,5.3,3/18/2016,4:00pm,0.1,5.16,5.37,5.16,54244,5.2
AXSM,8.54,3/18/2016,4:00pm,-0.43,9.17,10,8.31,233514,8.97
AXTI,2.57,3/18/2016,4:00pm,-0.04,2.6,2.61,2.53,34725,2.61
AZUR,1.53,3/18/2016,4:04pm,0.04,1.53,1.62,1.48,148188,1.49
AZZ,56.59,3/18/2016,4:02pm,-0.55,57.49,57.69,56.58,165973,57.14
